epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,1102.87,2.00197,0.72395,1.32591,0.82998,0.88258,0.89793,0.44774,1.92351,0.69881,1.29223,0.00160855,0.00160855,0.00160855
24,1149.84,1.98086,0.7107,1.32948,0.88843,0.95056,0.94324,0.45527,1.93328,0.64526,1.2947,0.00157501,0.00157501,0.00157501
25,1196.88,2.00043,0.70898,1.34071,0.89698,0.97652,0.95969,0.47512,1.9486,0.63035,1.29705,0.00154047,0.00154047,0.00154047
26,1243.87,1.97834,0.69474,1.30103,0.8846,0.97652,0.94813,0.47337,1.89363,0.64454,1.27491,0.001505,0.001505,0.001505
27,1291.05,1.98922,0.68608,1.32627,0.90525,0.95353,0.95362,0.48762,1.9607,0.60602,1.30262,0.00146866,0.00146866,0.00146866
28,1337.99,1.96031,0.68036,1.32117,0.89757,0.94325,0.94634,0.47703,1.95175,0.60111,1.2973,0.00143152,0.00143152,0.00143152
29,1385.21,1.94844,0.65276,1.31485,0.91579,0.95768,0.96844,0.47651,1.97537,0.61465,1.31053,0.00139364,0.00139364,0.00139364
30,1432.53,1.93629,0.64641,1.30804,0.91475,0.96086,0.95311,0.5007,1.91825,0.57481,1.28759,0.00135509,0.00135509,0.00135509
31,1480,1.95463,0.65679,1.32179,0.90617,0.94495,0.94484,0.47164,2.00969,0.62104,1.32271,0.00131593,0.00131593,0.00131593
32,1527.08,1.95619,0.64731,1.29961,0.90411,0.95943,0.95288,0.47033,2.01087,0.59816,1.31436,0.00127623,0.00127623,0.00127623
33,1574.3,1.94168,0.64019,1.30866,0.90412,0.95955,0.9601,0.50413,1.92477,0.56883,1.2939,0.00123607,0.00123607,0.00123607
34,1621.33,1.96334,0.63846,1.30853,0.90899,0.9577,0.95764,0.46762,1.95721,0.60749,1.29487,0.00119551,0.00119551,0.00119551
35,1668.5,1.93388,0.63505,1.31294,0.90647,0.96477,0.95642,0.47503,1.97298,0.58886,1.30697,0.00115462,0.00115462,0.00115462
36,1715.47,1.95101,0.63492,1.30814,0.92342,0.95695,0.97176,0.50148,1.91925,0.59266,1.28363,0.00111348,0.00111348,0.00111348
37,1762.89,1.89685,0.62675,1.30287,0.92537,0.9589,0.97011,0.50718,1.90572,0.57841,1.27245,0.00107216,0.00107216,0.00107216
38,1810.09,1.90349,0.61841,1.3087,0.93076,0.94521,0.9663,0.48775,1.97791,0.59292,1.3039,0.00103073,0.00103073,0.00103073
39,1857.09,1.90945,0.61834,1.29935,0.89697,0.9726,0.96846,0.50259,1.88933,0.57689,1.27113,0.000989267,0.000989267,0.000989267
40,1904.37,1.87933,0.61425,1.28954,0.91087,0.96001,0.95391,0.483,1.98815,0.57845,1.3063,0.000947837,0.000947837,0.000947837
41,1951.39,1.89095,0.61667,1.29607,0.92409,0.96869,0.96921,0.50632,1.92143,0.54844,1.28188,0.000906517,0.000906517,0.000906517
